date,carat,shape,basis,price_usd,status,source_url,note
2026-09-01,1.0,all,per_stone,544,observed,https://www.stonealgo.com/lab-grown-diamond-prices/1-carat-lab-grown-diamond-prices/,"Read 2026-09-03; landing page tile dated 09/01/2026; page sentence: 'The average price of a 1 carat lab grown diamond is currently $544'; at 1 ct per stone equals per carat; index basis 372,643 live listings, 10 shapes, color D-K, clarity FL-SI2"
2026-09-01,2.0,all,per_stone,1173,observed,https://www.stonealgo.com/lab-grown-diamond-prices/2-carat-lab-grown-diamond-prices/,"Read 2026-09-03; page sentence: 'The average price of a 2 carat lab grown diamond is currently $1,173'; basis read as per stone, UNCONFIRMED (see DESIGN.md); 429,523 live listings"
2026-09-01,3.0,all,per_stone,1810,observed,https://www.stonealgo.com/lab-grown-diamond-prices/,"Read 2026-09-03 from the landing page tile (3 ct $1,810, -1.74% in 1 month); basis UNCONFIRMED (see DESIGN.md)"
2026-06-01,1.0,all,per_stone,563,derived,https://www.stonealgo.com/lab-grown-diamond-prices/1-carat-lab-grown-diamond-prices/,"DERIVED, not a reading: 544 / (1 - 0.0337) from the page's stated 3-month change of -3.37%; replace with a chart reading"
2026-03-01,1.0,all,per_stone,739,derived,https://www.stonealgo.com/lab-grown-diamond-prices/1-carat-lab-grown-diamond-prices/,"DERIVED, not a reading: 544 / (1 - 0.2639) from the stated 6-month change of -26.39%; replace with a chart reading"
2026-06-01,2.0,all,per_stone,1231,derived,https://www.stonealgo.com/lab-grown-diamond-prices/2-carat-lab-grown-diamond-prices/,"DERIVED, not a reading: 1173 / (1 - 0.0471) from the stated 3-month change of -4.71%"
2026-03-01,2.0,all,per_stone,1447,derived,https://www.stonealgo.com/lab-grown-diamond-prices/2-carat-lab-grown-diamond-prices/,"DERIVED, not a reading: 1173 / (1 - 0.1894) from the stated 6-month change of -18.94%"
2026-08-01,1.0,all,per_stone,,placeholder,,"PLACEHOLDER: no value recorded; fill from the StoneAlgo 3-month chart"
2026-07-01,1.0,all,per_stone,,placeholder,,"PLACEHOLDER: no value recorded; fill from the StoneAlgo 3-month chart"
2026-05-01,1.0,all,per_stone,,placeholder,,"PLACEHOLDER: no value recorded; fill from the StoneAlgo 6-month chart"
2026-04-01,1.0,all,per_stone,,placeholder,,"PLACEHOLDER: no value recorded; fill from the StoneAlgo 6-month chart"
2026-02-01,1.0,all,per_stone,,placeholder,,"PLACEHOLDER: no value recorded; fill from the StoneAlgo 1-year chart"
2026-01-01,1.0,all,per_stone,,placeholder,,"PLACEHOLDER: no value recorded; fill from the StoneAlgo 1-year chart"
2025-12-01,1.0,all,per_stone,,placeholder,,"PLACEHOLDER: no value recorded; fill from the StoneAlgo 1-year chart"
2025-11-01,1.0,all,per_stone,,placeholder,,"PLACEHOLDER: no value recorded; fill from the StoneAlgo 1-year chart"
2025-10-01,1.0,all,per_stone,,placeholder,,"PLACEHOLDER: no value recorded; fill from the StoneAlgo 1-year chart"
2025-09-01,1.0,all,per_stone,,placeholder,,"PLACEHOLDER: no value recorded; fill from the StoneAlgo 1-year chart"
2026-09-01,0.5,all,per_stone,,placeholder,https://www.stonealgo.com/lab-grown-diamond-prices/0.5-carat-lab-grown-diamond-prices/,"PLACEHOLDER: page exists, value not read yet"
2026-09-01,0.7,all,per_stone,,placeholder,https://www.stonealgo.com/lab-grown-diamond-prices/0.7-carat-lab-grown-diamond-prices/,"PLACEHOLDER: page exists, value not read yet"
2026-09-01,1.5,all,per_stone,,placeholder,https://www.stonealgo.com/lab-grown-diamond-prices/1.5-carat-lab-grown-diamond-prices/,"PLACEHOLDER: page exists, value not read yet"
2026-09-01,2.5,all,per_stone,,placeholder,https://www.stonealgo.com/lab-grown-diamond-prices/2.5-carat-lab-grown-diamond-prices/,"PLACEHOLDER: page exists, value not read yet"
2026-09-01,4.0,all,per_stone,,placeholder,https://www.stonealgo.com/lab-grown-diamond-prices/4-carat-lab-grown-diamond-prices/,"PLACEHOLDER: page exists, value not read yet"
2026-09-01,1.0,round,per_stone,,placeholder,https://www.stonealgo.com/lab-grown-diamond-prices/1-carat-lab-grown-diamond-prices/,"PLACEHOLDER: use the page's Round shape filter; value not read yet"
2026-09-01,2.0,oval,per_stone,,placeholder,https://www.stonealgo.com/lab-grown-diamond-prices/2-carat-lab-grown-diamond-prices/,"PLACEHOLDER: use the page's Oval shape filter; value not read yet"
